,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
C1_10560C,309.052470244579,-0.177461627488071,0.659307826853451,-0.269163538274689,0.787803837387788,0.98500176332178
C1_10580C,175.982214243542,1.1779487320597,1.22297420988145,0.963183624431369,0.335455381507909,0.92077202796741
C1_10610W,458.373047204866,0.381404352677414,0.614402402838772,0.620772885840259,0.534749065640995,0.954830933037319
C1_10620W,3171.08601053284,0.246136621608503,0.357246274101427,0.688983033420304,0.490833944646771,0.9544445184834
C1_10630C,405.72285277745,-0.183835540601314,0.658243110302537,-0.279282134099088,0.780028315949457,0.98500176332178
C1_10640C,689.171710947799,1.10068586654851,0.682827549212114,1.61195292694114,0.106972183554322,0.856737967633228
C1_10650W,307.710962286138,-1.1642044056737,0.875819632561784,-1.32927415918776,0.183757536368058,0.888052846272707
C1_10660W,1074.33263820333,-0.149834451320155,0.483191358081679,-0.310093400500816,0.756489930720399,0.98500176332178
C1_10670C,4588.18317050162,-0.0059411688987348,0.334922613405532,-0.0177389303108688,0.985847123630464,0.99806377968747
C1_10680C,6015.09907277422,-0.232229695826119,0.3089302254733,-0.75172215820038,0.452218162222752,0.950244860134314
C1_10690W,331.656047493621,-0.431396171198446,0.92627617647318,-0.465731692291815,0.641407564359802,0.971140460222548
C1_10700C,1062.66128885403,0.0368584180254035,0.512818998805206,0.0718741273456683,0.942702080171646,0.994428109838497
C1_10710C,235.977386727665,1.1445527942507,0.972530575605687,1.17688103897184,0.239242991073683,0.913703879686606
C1_10720C,1275.70422954956,-0.0958611002397488,0.454699818716876,-0.210822824847964,0.833025527161241,0.98500176332178
C1_10730W,709.360342026052,-0.359443216902364,0.652455350459855,-0.550908528298566,0.581696380932936,0.958588580221295
C1_10740C,7569.83279235588,0.317661076588002,0.578210613241638,0.549386450738235,0.582740270460709,0.958588580221295
C1_10750C,267.494132356691,-0.995747459451778,0.897027191310761,-1.11005270419592,0.266976316051471,0.913703879686606
C1_10760W,378.993106512878,0.635820105771847,0.766496549164923,0.829514635733919,0.406813258527686,0.944485457687738
C1_10770W,222.218207364466,0.389287336558801,1.05776686756718,0.368027538482224,0.712852700314851,0.984676385341949
C1_10780C,1774.31414692304,0.0910614411380877,0.459877783363819,0.198012264197697,0.843035468274074,0.98500176332178
C1_10790W,18471.478667105,0.244230482671672,0.300828395635872,0.811859805173753,0.416872080750032,0.944789224034517
C1_10800C,1887.91491011391,-0.770425887140684,0.450212002441446,-1.7112513281804,0.0870347270580676,0.842987981906953
C1_10810W,122.317667979989,-1.92193813287109,1.04264750928479,-1.84332491638469,0.0652815853374008,0.808700541915233
C1_10820C,2072.14980023181,-0.939669784294887,0.464350951866092,-2.0236198085061,0.0430092853086997,0.792790723653201
C1_10830W,540.455505614185,0.31236716882505,0.689121581222382,0.453283103209401,0.65034489822415,0.973349180664314
C1_10840C,1576.94442542976,0.471829341487617,0.453006517131536,1.04155089086856,0.297619947115949,0.913703879686606
C1_10860C,291.354955499902,-0.142979348132259,0.603235543148664,-0.2370207620492,0.812640683346354,0.98500176332178
C1_10880W,546.708757752165,0.425389781820314,0.562190965824693,0.756664207857376,0.449251063289317,0.950127429032853
C1_10890C,840.732431765548,-0.575876406417155,0.416751728645201,-1.38182127831658,0.167026583900075,0.885527373945066
C1_10910C,312.048437037375,0.565899792195564,0.809966291624546,0.69867079413952,0.484757790018319,0.953945926945194
C1_10920W,222.791060152538,-0.382507609272465,0.82321944339549,-0.464648414637482,0.642183255406691,0.971140460222548
C1_10930C,827.544200125553,0.653411197128245,0.426938247276422,1.53045833044139,0.125903320192365,0.872375015415045
C1_10940C,1424.25326623892,0.623029671753053,0.41576006538067,1.49853178222542,0.133995141575132,0.873071321010244
C1_10950C,254.309008202621,0.843837941313355,0.6365472132745,1.32564863016605,0.184956110230758,0.888052846272707
C1_10970W,845.978336949476,0.000412490530071125,0.639958431010284,0.000644558318295671,0.999485716904905,0.999859195005503
C1_10990C,1031.35438934383,-0.0130568105722744,0.488988334955561,-0.0267016810809219,0.978697672302918,0.997652277471516
C1_11000C,328.356587961479,-0.322022510027746,0.501688709321666,-0.641877132262262,0.520952963136509,0.9544445184834
C1_11010C,406.074669180508,-0.530846699758432,0.610226686336812,-0.869917215428749,0.384345646682674,0.931791977260675
C1_11020W,186.380709636706,0.490377264840891,0.936558429461348,0.523594950848851,0.600560294093011,0.95887068230307
C1_11040W,5450.28685557655,0.698085373376941,0.45909417309856,1.52057119058027,0.128367481032779,0.872375015415045
C1_11050W,903.415247925526,-0.576842254011602,0.875747962432752,-0.658685236799391,0.510097915114851,0.9544445184834
C1_11060C,28284.564148046,0.298494576260373,0.27604175250076,1.08133850606368,0.279546564849569,0.913703879686606
C1_11070W,583.756560572355,-0.589951986369161,0.47615733196681,-1.23898540831517,0.215350901902167,0.91072318671097
C1_11080W,1284.38637557967,0.083247516289567,0.392394540903854,0.212152585247012,0.831987996187181,0.98500176332178
C1_11090C,728.025179515891,0.947085464819262,0.546727134259982,1.73228180105087,0.0832234006326148,0.82898195178018
C1_11100W,322.1061106687,1.28000601434351,1.13763950431382,1.12514202389232,0.260528855989648,0.913703879686606
C1_11110C,363.412696843698,-1.16497719279573,0.937280899256137,-1.24293282165496,0.213892589688289,0.909549561198149
C1_11120C,2665.36476048338,0.708533466295522,0.388633396439864,1.82314096726157,0.0682820432064541,0.811735070721151
